"","ligand","receptor"
"1236","Matn1","Itga1"
"1237","Matn1","Itgb1"
"1238","Mbl2","Calcr"
"1239","Mbl2","Cd93"
"1240","Mdk","Alk"
"1241","Mdk","Lrp1"
"1242","Mdk","Lrp2"
"1243","Mdk","Ptprz1"
"1244","Mdk","Sdc1"
"1245","Mdk","Sdc3"
"1246","Mdk","Sdc4"
"1247","Mdk","Tspan1"
"1248","Mepe","Phex"
"1249","Mfap2","Notch1"
"1250","Mfap5","Notch1"
"1251","Mfge8","Itgav"
"1252","Mfge8","Itgb3"
"1253","Mfge8","Pdgfrb"
"1254","Mfng","Notch1"
"1255","Mfng","Notch2"
"1269","Mmp12","Plaur"
"1270","Mmp13","Lrp1"
"1271","Mmp1b","Cd44"
"1272","Mmp1b","Itga2"
"1273","Mmp2","Sdc2"
"1274","Mmp7","Cd151"
"1275","Mmp7","Cd44"
"1276","Mmp7","Erbb4"
"1277","Mmp9","Cd44"
"1278","Mmp9","Ephb2"
"1279","Mmp9","Lrp1"
"1280","Mst1","Mst1r"
"1281","Mstn","Acvr2b"
"1284","Myoc","Fzd1"
"1285","Myoc","Fzd10"
"1286","Myoc","Fzd3"
"1287","Myoc","Fzd4"
"1288","Myoc","Fzd7"
"1289","Nampt","Insr"
"1290","Ncam1","Fgfr1"
"1291","Ncam1","Gfra1"
"1292","Ncam1","Robo1"
"1293","Ncam1","Robo3"
"1294","Ndp","Fzd4"
"1295","Ndp","Lgr4"
"1296","Ngf","Ngfr"
"1297","Ngf","Ntrk1"
"1298","Ngf","Sorcs3"
"1299","Ngf","Sort1"
"1300","Nid1","Col13a1"
"1301","Nid1","Itgav"
"1302","Nid1","Itgb3"
"1303","Nid1","Ptprf"
"1304","Nid2","Col13a1"
"1305","Nlgn1","Nrxn1"
"1306","Nlgn1","Nrxn2"
"1307","Nlgn1","Nrxn3"
"1308","Nlgn2","Nrxn1"
"1309","Nlgn2","Nrxn2"
"1310","Nlgn2","Nrxn3"
"1311","Nlgn3","Nrxn1"
"1312","Nlgn3","Nrxn2"
"1313","Nlgn3","Nrxn3"
"1314","Nmb","Brs3"
"1315","Nmb","Grpr"
"1316","Nmb","Nmbr"
"1317","Nms","Nmur1"
"1318","Nms","Nmur2"
"1319","Nmu","Nmur1"
"1320","Nmu","Nmur2"
"1321","Nodal","Acvr1b"
"1322","Nodal","Acvr1c"
"1323","Nodal","Acvr2a"
"1324","Nodal","Acvr2b"
"1326","Npb","Npbwr1"
"1329","Npff","Npffr2"
"1330","Npnt","Itga8"
"1331","Npnt","Itgb1"
"1332","Nppa","Npr1"
"1333","Nppa","Npr3"
