"","cell","cluster"
"GK5a.M2.3_19","GK5a.M2.3_19",1
"GK5a.M2.3_23","GK5a.M2.3_23",1
"GK5a.M2.3_25","GK5a.M2.3_25",1
"GK5a.M2.3_26","GK5a.M2.3_26",3
"GK5a.M2.3_27","GK5a.M2.3_27",5
"GK5a.M2.3_29","GK5a.M2.3_29",1
"GK5a.M2.3_31","GK5a.M2.3_31",5
"GK5a.M2.3_34","GK5a.M2.3_34",1
"GK5a.M2.3_36","GK5a.M2.3_36",2
"GK5a.M2.3_38","GK5a.M2.3_38",1
"GK5a.M2.3_41","GK5a.M2.3_41",1
"GK5a.M2.3_43","GK5a.M2.3_43",6
"GK5a.M2.3_46","GK5a.M2.3_46",1
"GK5a.M2.3_47","GK5a.M2.3_47",1
"GK5a.M2.3_48","GK5a.M2.3_48",1
"GK5a.M2.3_49","GK5a.M2.3_49",1
"GK5a.M2.3_52","GK5a.M2.3_52",6
"GK5a.M2.3_54","GK5a.M2.3_54",3
"GK5a.M2.3_57","GK5a.M2.3_57",14
"GK5a.M2.3_58","GK5a.M2.3_58",2
"GK5a.M2.3_59","GK5a.M2.3_59",6
"GK5a.M2.3_64","GK5a.M2.3_64",5
"GK5a.M2.3_66","GK5a.M2.3_66",1
"GK5a.M2.3_67","GK5a.M2.3_67",1
"GK5a.M2.3_68","GK5a.M2.3_68",5
"GK5a.M2.3_69","GK5a.M2.3_69",5
"GK5a.M2.3_70","GK5a.M2.3_70",5
"GK5a.M2.3_76","GK5a.M2.3_76",6
"GK5a.M2.3_77","GK5a.M2.3_77",1
"GK5a.M2.3_87","GK5a.M2.3_87",15
"GK5a.M2.3_88","GK5a.M2.3_88",6
"GK5a.M2.3_90","GK5a.M2.3_90",6
"GK5a.M2.3_91","GK5a.M2.3_91",1
"GK5a.M2.3_99","GK5a.M2.3_99",6
"GK5a.M2.3_100","GK5a.M2.3_100",5
"GK5a.M2.3_101","GK5a.M2.3_101",1
"GK5a.M2.3_103","GK5a.M2.3_103",2
"GK5a.M2.3_104","GK5a.M2.3_104",5
"GK5a.M2.3_105","GK5a.M2.3_105",1
"GK5a.M2.3_109","GK5a.M2.3_109",6
"GK5a.M2.3_110","GK5a.M2.3_110",1
"GK5a.M2.3_113","GK5a.M2.3_113",1
"GK5a.M2.3_115","GK5a.M2.3_115",5
"GK5a.M2.3_117","GK5a.M2.3_117",5
"GK5a.M2.3_120","GK5a.M2.3_120",1
"GK5a.M2.3_122","GK5a.M2.3_122",1
"GK5a.M2.3_124","GK5a.M2.3_124",1
"GK5a.M2.3_127","GK5a.M2.3_127",1
"GK5a.M2.3_128","GK5a.M2.3_128",1
"GK5a.M2.3_129","GK5a.M2.3_129",3
"GK5a.M2.3_131","GK5a.M2.3_131",1
"GK5a.M2.3_132","GK5a.M2.3_132",8
"GK5a.M2.3_133","GK5a.M2.3_133",1
"GK5a.M2.3_134","GK5a.M2.3_134",1
"GK5a.M2.3_135","GK5a.M2.3_135",3
"GK5a.M2.3_139","GK5a.M2.3_139",5
"GK5a.M2.3_141","GK5a.M2.3_141",2
"GK5a.M2.3_142","GK5a.M2.3_142",6
"GK5a.M2.3_145","GK5a.M2.3_145",3
"GK5a.M2.3_148","GK5a.M2.3_148",7
"GK5a.M2.3_149","GK5a.M2.3_149",1
"GK5a.M2.3_150","GK5a.M2.3_150",5
"GK5a.M2.3_151","GK5a.M2.3_151",1
"GK5a.M2.3_152","GK5a.M2.3_152",1
"GK5a.M2.3_153","GK5a.M2.3_153",1
"GK5a.M2.3_154","GK5a.M2.3_154",3
"GK5a.M2.3_155","GK5a.M2.3_155",3
"GK5a.M2.3_156","GK5a.M2.3_156",9
"GK5a.M2.3_157","GK5a.M2.3_157",14
"GK5a.M2.3_160","GK5a.M2.3_160",1
"GK5a.M2.3_161","GK5a.M2.3_161",2
"GK5a.M2.3_162","GK5a.M2.3_162",5
"GK5a.M2.3_163","GK5a.M2.3_163",1
"GK5a.M2.3_164","GK5a.M2.3_164",5
"GK5a.M2.3_165","GK5a.M2.3_165",1
"GK5a.M2.3_167","GK5a.M2.3_167",2
"GK5a.M2.3_170","GK5a.M2.3_170",1
"GK5a.M2.3_173","GK5a.M2.3_173",1
"GK5a.M2.3_174","GK5a.M2.3_174",1
"GK5a.M2.3_175","GK5a.M2.3_175",1
"GK5a.M2.3_177","GK5a.M2.3_177",1
"GK5a.M2.3_178","GK5a.M2.3_178",5
"GK5a.M2.3_179","GK5a.M2.3_179",1
"GK5a.M2.3_184","GK5a.M2.3_184",2
"GK5a.M2.3_185","GK5a.M2.3_185",5
"GK5a.M2.3_187","GK5a.M2.3_187",5
"GK5a.M2.3_190","GK5a.M2.3_190",6
"GK5a.M2.3_192","GK5a.M2.3_192",5
"GK5a.M2.3_193","GK5a.M2.3_193",2
"GK5a.M2.3_195","GK5a.M2.3_195",2
"GK5a.M2.3_196","GK5a.M2.3_196",1
"GK5a.M2.3_198","GK5a.M2.3_198",6
"GK5a.M2.3_199","GK5a.M2.3_199",6
"GK5a.M2.3_200","GK5a.M2.3_200",1
"GK5a.M2.3_203","GK5a.M2.3_203",5
"GK5a.M2.3_204","GK5a.M2.3_204",3
"GK5a.M2.3_205","GK5a.M2.3_205",1
"GK5a.M2.3_206","GK5a.M2.3_206",1
"GK5a.M2.3_207","GK5a.M2.3_207",5
"GK5a.M2.3_208","GK5a.M2.3_208",5
"GK5a.M2.3_209","GK5a.M2.3_209",1
"GK5a.M2.3_212","GK5a.M2.3_212",6
"GK5a.M2.3_218","GK5a.M2.3_218",7
"GK5a.M2.3_220","GK5a.M2.3_220",2
"GK5a.M2.3_221","GK5a.M2.3_221",6
"GK5a.M2.3_227","GK5a.M2.3_227",3
"GK5a.M2.3_228","GK5a.M2.3_228",1
"GK5a.M2.3_229","GK5a.M2.3_229",5
"GK5a.M2.3_232","GK5a.M2.3_232",5
"GK5a.M2.3_234","GK5a.M2.3_234",1
"GK5a.M2.3_235","GK5a.M2.3_235",1
"GK5a.M2.3_236","GK5a.M2.3_236",3
"GK5a.M2.3_238","GK5a.M2.3_238",5
"GK5a.M2.3_242","GK5a.M2.3_242",5
"GK5a.M2.3_244","GK5a.M2.3_244",5
"GK5a.M2.3_245","GK5a.M2.3_245",6
"GK5a.M2.3_252","GK5a.M2.3_252",1
"GK5a.M2.3_254","GK5a.M2.3_254",1
"GK5a.M2.3_255","GK5a.M2.3_255",4
"GK5a.M2.3_256","GK5a.M2.3_256",3
"GK5a.M2.3_258","GK5a.M2.3_258",1
"GK5a.M2.3_260","GK5a.M2.3_260",3
"GK5a.M2.3_261","GK5a.M2.3_261",5
"GK5a.M2.3_262","GK5a.M2.3_262",1
"GK5a.M2.3_263","GK5a.M2.3_263",1
"GK5a.M2.3_265","GK5a.M2.3_265",1
"GK5a.M2.3_268","GK5a.M2.3_268",5
"GK5a.M2.3_274","GK5a.M2.3_274",5
"GK5a.M2.3_275","GK5a.M2.3_275",1
"GK5a.M2.3_282","GK5a.M2.3_282",5
"GK5a.M2.3_285","GK5a.M2.3_285",7
"GK5a.M2.3_289","GK5a.M2.3_289",1
"GK5a.M2.3_293","GK5a.M2.3_293",5
"GK5a.M2.3_294","GK5a.M2.3_294",2
"GK5a.M2.3_296","GK5a.M2.3_296",1
"GK5a.M2.3_297","GK5a.M2.3_297",1
"GK5a.M2.3_299","GK5a.M2.3_299",3
"GK5a.M2.3_301","GK5a.M2.3_301",1
"GK5a.M2.3_304","GK5a.M2.3_304",1
"GK5a.M2.3_305","GK5a.M2.3_305",1
"GK5a.M2.3_307","GK5a.M2.3_307",1
"GK5a.M2.3_308","GK5a.M2.3_308",5
"GK5a.M2.3_309","GK5a.M2.3_309",5
"GK5a.M2.3_310","GK5a.M2.3_310",1
"GK5a.M2.3_311","GK5a.M2.3_311",3
"GK5a.M2.3_312","GK5a.M2.3_312",5
"GK5a.M2.3_313","GK5a.M2.3_313",5
"GK5a.M2.3_315","GK5a.M2.3_315",6
"GK5a.M2.3_316","GK5a.M2.3_316",5
"GK5a.M2.3_318","GK5a.M2.3_318",1
"GK5a.M2.3_319","GK5a.M2.3_319",6
"GK5a.M2.3_322","GK5a.M2.3_322",3
"GK5a.M2.3_323","GK5a.M2.3_323",3
"GK5a.M2.3_326","GK5a.M2.3_326",1
"GK5a.M2.3_327","GK5a.M2.3_327",1
"GK5a.M2.3_328","GK5a.M2.3_328",10
"GK5a.M2.3_330","GK5a.M2.3_330",3
"GK5a.M2.3_331","GK5a.M2.3_331",5
"GK5a.M2.3_333","GK5a.M2.3_333",5
"GK5a.M2.3_336","GK5a.M2.3_336",5
"GK5a.M2.3_338","GK5a.M2.3_338",3
"GK5a.M2.3_340","GK5a.M2.3_340",6
"GK5a.M2.3_342","GK5a.M2.3_342",1
"GK5a.M2.3_344","GK5a.M2.3_344",1
"GK5a.M2.3_346","GK5a.M2.3_346",5
"GK5a.M2.3_348","GK5a.M2.3_348",6
